Id,furniture,type,url,rate,delivery,sale,price
74,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-49inch-flat-screen-dust-proof-protector-black-black-22060313.html,0.0,430.03,17%,836.0
75,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-55inch-flat-screen-dust-proof-protector-black-black-22060339.html,0.0,415.97,23%,857.0
76,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-38827663.html,0.0,172.14,68%,3000.0
77,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827687.html,0.0,172.14,68%,3000.0
78,Written by CMTV Brown in White,Modern Home,https://www.jumia.com.eg//ar/generic-modern-wall-mount-t.v-unit-120120-brownwhite-26627440.html,0.0,172.14,13%,4500.0
79,Study desk with open drawer,Modern Home,https://www.jumia.com.eg//ar/generic-stady-desk-904575-white-32643567.html,0.0,172.14,33%,1199.0
80,Modern TV and coffee table,General,https://www.jumia.com.eg//ar/general-modern-tv-and-coffee-table-120-cm-white-38827658.html,0.0,172.14,29%,1200.0
81,Modern Home Home  Studying Desk - 90x80x40 -  White,Modern Home Home  Studying Desk     x  x      White,https://www.jumia.com.eg//ar/home-studying-desk-90x80x40-white-modern-home-mpg853625.html,4.2,172.14,69%,2200.0
82,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827641.html,0.0,172.14,68%,3000.0
83,Bean bag xl black,Homztown,https://www.jumia.com.eg//ar/homztown-x-large-beanbag-black-23551160.html,0.0,52.44,32%,1200.0
84,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827667.html,0.0,172.14,72%,3000.0
85,Modern desk with side shelves,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-office-with-side-shelves-white-14060-cm-21170318.html,4.2,52.44,15%,1650.0
86,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38465286.html,0.0,52.44,68%,3000.0
87,Desk + drawer,Minihomz,https://www.jumia.com.eg//ar/minihomz-home-desk-37778553.html,4.0,52.44,31%,1290.0
88,Medium coffee table,Modern Home,https://www.jumia.com.eg//ar/modern-home-coffee-table-3-pcs-white-303-27112487.html,4.3,172.14,56%,1800.0
89,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room (White),Modern Home,https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-white-37664679.html,0.0,52.44,54%,1400.0
90,Modern desk with side shelves,General,https://www.jumia.com.eg//ar/general-office-with-side-shelves-white-100-cm-30916707.html,5.0,52.44,60%,2200.0
92,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room (White with Black),Modern Home,https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-whiteblack-37664675.html,5.0,52.44,54%,1400.0
93,Folding bed cm,Modern Home,https://www.jumia.com.eg//ar/generic-fold-able-bed-with-mattress-90190-cm-20785307.html,4.3,172.14,16%,4800.0
94,_ Modern coffee table,Modern Home GR,https://www.jumia.com.eg//ar/gr101-modern-coffee-table-8060-cm-brown-modern-home-mpg697017.html,4.0,172.14,40%,500.0
95,Contemporary tiered book storage unit,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-display-rack-7-tier-bookshelf-storage-rack-28520759.html,5.0,52.44,18%,2200.0
96,books Library,Minihomz           minihomz,https://www.jumia.com.eg//ar/minihomz-book-case-minihomz-34255840.html,0.0,52.44,30%,1420.0
97,Italian black office chair,Modern Home,https://www.jumia.com.eg//ar/office-chair-black-generic-mpg871032.html,4.2,52.44,29%,450.0
98,Home  Studying Desk - 90x80x40 -  White,Home  Studying Desk     x  x      White,https://www.jumia.com.eg//ar/generic-home-studying-desk-90x80x40-white-37494601.html,0.0,172.14,54%,2050.0
99,Modern desk with side shelves,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-office-with-side-shelves-white-140130-cm-21414623.html,4.1,52.44,46%,3500.0
102,Office + library unit,Minihomz,https://www.jumia.com.eg//ar/minihomz-home-desk-37664621.html,0.0,52.44,11%,2200.0
103,Low Pvc Hard Back Chair - Black,Low Pvc Hard Back Chair   Black,https://www.jumia.com.eg//ar/hard-pvc-low-back-chair-black-generic-mpg715011.html,3.9,52.44,29%,450.0
104,Bedside table with storage,Modern Home                                         T,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-light-brown-t102-21163171.html,4.2,172.14,60%,1100.0
105,Beige Super Sofa Bed,Modern Home,https://www.jumia.com.eg//ar/big-super-sofa-bed-gray-22454266.html,4.0,172.14,17%,3500.0
106,Modern Home Tv Table - 120 Cm -  Brown,Modern Home Tv Table       Cm    Brown,https://www.jumia.com.eg//ar/tv-table-120-cm-brown-modern-home-mpg892192.html,4.2,172.14,56%,2000.0
107,"Storage unit for books, decorations and accessories ",Modern Home,https://www.jumia.com.eg//ar/modern-home-book-storage-unit-decorations-and-accessories-white-21173146.html,4.2,52.44,12%,2049.0
108,Beige Classic Sofa Bed,Modern Home,https://www.jumia.com.eg//ar/big-classic-sofa-bed-from-big-dark-gray-22451647.html,2.0,172.14,30%,4000.0
109,Bedside table with storage shelf,Modern Home,https://www.jumia.com.eg//ar/bedside-table-side-table-with-storage-black-404043-modern-home-mpg864316.html,4.4,172.14,56%,1100.0
110,"Home Gallery TV unit made of natural wood, beige",Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-natural-wood-tv-unit-120x30x50-brown-40844588.html,0.0,172.14,17%,5004.0
111,Modern side table,Modern Home,https://www.jumia.com.eg//ar/generic-modern-side-table-303537-cm-38494739.html,0.0,172.14,0%,450.0
112,Modern Home Office Desk - 90×40×75 - White,Modern Home Office Desk              White,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-904075-white-37494625.html,0.0,52.44,52%,1950.0
113,Desk on a metal chassis x x cm,Modern Home,https://www.jumia.com.eg//ar/generic-desk-with-metal-chassis-1006075-cm-32525063.html,0.0,52.44,0%,1299.0
114,Plastic chair,Modern Home,https://www.jumia.com.eg//ar/plastic-chair-brown-generic-mpg821980.html,4.4,52.44,20%,100.0
115,Gray sofa bed,Arikaty,https://www.jumia.com.eg//ar/arikaty-31-sofa-bed-grey-22735024.html,0.0,172.14,30%,3999.0
116,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-white-32489883.html,0.0,172.14,18%,1099.0
117,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-brown-120cm-32489888.html,0.0,172.14,18%,1099.0
118,Modern Home Modern Library With Matching Shelves _White_W10,Modern Home Modern Library With Matching Shelves  White W,https://www.jumia.com.eg//ar/modern-home-modern-library-with-matching-shelves-whitew10-21310279.html,4.4,52.44,14%,1450.0
119,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-32489910.html,0.0,172.14,18%,1099.0
120,foldable wooden desk,Modern Home,https://www.jumia.com.eg//ar/modern-home-wall-wooden-disk-60-x-40-cm-16826018.html,4.4,52.44,6%,400.0
121,Folding wooden desk,Modern Home                         x,https://www.jumia.com.eg//ar/modern-home-wooden-foldable-office-desk-60x40-cm-black-19932709.html,4.2,52.44,28%,400.0
122,Bedside table with storage shelf,Modern Home,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-white-404043-20134978.html,4.3,172.14,56%,1100.0
123,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827683.html,0.0,172.14,73%,3000.0
124,Home office for studying,Modern Home,https://www.jumia.com.eg//ar/modern-home-home-studying-office-9040x75-black-32532343.html,0.0,172.14,63%,1850.0
125,TV table,General,https://www.jumia.com.eg//ar/general-modern-tv-table-120-cm-white-38491956.html,0.0,172.14,35%,2000.0
126,Home  Studying Desk - 90x80x40 -  White & Brown,Home  Studying Desk     x  x      White   Brown,https://www.jumia.com.eg//ar/generic-home-studying-desk-90x80x40-white-brown-37494583.html,0.0,172.14,52%,1950.0
127,Plastic chair and flap,Modern Home,https://www.jumia.com.eg//ar/generic-plastic-chair-and-taqqa-brown-5-pieces-26465984.html,0.0,52.44,15%,350.0
128,"Shannon cupboard, beige storage shelves, brown shelves",Modern Home,https://www.jumia.com.eg//ar/generic-cupboard-storage-shelves-page-in-4-shelves-28072108.html,0.0,10.83,33%,888.0
129,Beige Magic Bed Corner,Modern Home,https://www.jumia.com.eg//ar/big-magic-corner-bed-from-big-beige-22596558.html,5.0,172.14,17%,4700.0
130,Foldable wooden table,Modern Home,https://www.jumia.com.eg//ar/foldable-wooden-table-60x100cm-generic-mpg715003.html,3.7,52.44,4%,500.0
131,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room,Gad Woods,https://www.jumia.com.eg//ar/gad-woods-tv-unit-with-2-wall-shelf-for-living-room-brown-39620074.html,5.0,52.44,68%,1400.0
132,High swivel director chair with headrest (black color),General,https://www.jumia.com.eg//ar/general-high-swivel-director-chair-with-headrest-black-color-dream-disk-40433472.html,0.0,52.44,33%,2000.0
133,Beige Super Sofa Bed,Modern Home,https://www.jumia.com.eg//ar/big-super-sofa-bed-from-big-beige-22441040.html,4.7,172.14,17%,3500.0
134,Beige Grand Sofa Bed,Modern Home,https://www.jumia.com.eg//ar/big-grand-sofa-bed-beige-brown-22692168.html,2.0,172.14,21%,3500.0
135,Super beige sofa bed,Modern Home,https://www.jumia.com.eg//ar/big-super-sofa-bed-cashmere-22454263.html,5.0,172.14,17%,3500.0
136,Macro Home Desk,Modern Home,https://www.jumia.com.eg//ar/generic-macro-home-office-desk-1206075cm-32594059.html,5.0,52.44,18%,2199.0
137,Corner bed super beige,Modern Home,https://www.jumia.com.eg//ar/big-super-corner-bed-gray-24276903.html,0.0,172.14,10%,5900.0
138,"Mora medical mattress, ten years guarantee. The size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-160-length-195-high-20-24394257.html,5.0,172.14,25%,4800.0
139,Bean Bag Standard from Flamingo,Flamingo,https://www.jumia.com.eg//ar/flamingo-medium-waterproof-bean-bag-by-flamingo-black-23416542.html,5.0,52.44,11%,670.0
140,"A unit for books, decorations and accessories with multiple shelves ",General                                                           W,https://www.jumia.com.eg//ar/general-unit-for-booksdecorations-and-accessories-with-multiple-shelves-white-38484197.html,0.0,52.44,43%,2000.0
141,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-38827691.html,0.0,52.44,62%,3000.0
142,Modern home office design,Modern Home,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-9040-39699065.html,0.0,52.44,0%,860.0
144,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room,Gad Woods,https://www.jumia.com.eg//ar/gad-woods-tv-unit-with-2-wall-shelf-for-living-room-white-39620075.html,0.0,52.44,68%,1400.0
145,Macro Home Desk,Modern Home,https://www.jumia.com.eg//ar/generic-macro-home-office-desk-904075cm-38652240.html,0.0,52.44,54%,2000.0
146,"Mora medical mattress, ten years guarantee. The size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-160-length-195-high-25-24394267.html,5.0,172.14,20%,4999.0
147,Foldable table,Khorshed,https://www.jumia.com.eg//ar/folding-table-biege-khorshed-mpg715150.html,4.2,52.44,45%,390.0
148,Entrance table,Modern Home,https://www.jumia.com.eg//ar/generic-modern-table-100-x-45-x-50-cm-33830150.html,0.0,172.14,32%,2500.0
149,Sarcomisr Medical Office Chair - Blue Mesh - White,Sarcomisr Medical Office Chair   Blue Mesh   White,https://www.jumia.com.eg//ar/sarcomisr-medical-office-chair-blue-mesh-white-19897180.html,4.6,52.44,11%,1350.0
150,Bed side table with storage shelf,Home Decor Center,https://www.jumia.com.eg//ar/home-decor-center-bedside-table-side-table-with-drawer-white-403055-cm-304-27151996.html,3.3,172.14,72%,2500.0
151,Large waterproof bean bag,Homztown,https://www.jumia.com.eg//ar/homztown-large-waterproof-beanbag-23447219.html,0.0,52.44,36%,950.0
152,Metal Chair - Black,Metal Chair   Black,https://www.jumia.com.eg//ar/metal-chair-black-generic-mpg823051.html,4.2,52.44,21%,490.0
153,Homztown Regular Beanbag Black,Homztown Regular Beanbag Black,https://www.jumia.com.eg//ar/homztown-regular-beanbag-black-23551070.html,0.0,52.44,40%,850.0
154,European mattress size height,Modern Home,https://www.jumia.com.eg//ar/generic-european-mattress-width-160-length-195-high-32-34221996.html,0.0,172.14,12%,3300.0
155,Foldable table,Modern Home,https://www.jumia.com.eg//ar/generic-folding-table-biege-28071030.html,5.0,52.44,32%,550.0
156,_ Modern coffee table,Modern Home GR,https://www.jumia.com.eg//ar/gr101-modern-coffee-table-8060-cm-black-modern-home-mpg697016.html,4.2,172.14,20%,500.0
157,TV table,Modern Home,https://www.jumia.com.eg//ar/tv-table-120-cm-black-generic-mpg707426.html,4.4,172.14,62%,1999.0
158,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38494838.html,0.0,52.44,68%,3000.0
159,"Mora medical mattress, ten years guarantee. The size is high",Modern Home,https://www.jumia.com.eg//ar/generic-medical-mattress-width-120-length-195-high-20-24394236.html,0.0,172.14,0%,3500.0
160,Foldable wooden table,Modern Home,https://www.jumia.com.eg//ar/generic-foldable-wooden-table-60x100cm-28072106.html,3.5,52.44,38%,888.0
161,sash wood cupboard,Modern Home,https://www.jumia.com.eg//ar/generic-wooden-cabinet-2-door-1809532-cm-21311390.html,0.0,172.14,48%,4200.0
162,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room (Brown with White),Gad Woods,https://www.jumia.com.eg//ar/gad-woods-tv-unit-with-2-wall-shelf-for-living-room-brownwhite-39620303.html,0.0,52.44,68%,1400.0
163,Modern dining table + chairs,Artistico,https://www.jumia.com.eg//ar/artistico-modern-dining-table-6-chairs-20005878.html,4.5,172.14,16%,8000.0
164,Romance chair,Rango,https://www.jumia.com.eg//ar/rango-romantic-chair-beige-20904624.html,4.3,172.14,10%,3000.0
165,library,Minihomz       minihomz,https://www.jumia.com.eg//ar/minihomz-bookcase-white-minihomz-34707069.html,0.0,52.44,22%,890.0
166,"Modern capton bed, cm wood",Modern Home,https://www.jumia.com.eg//ar/generic-stylish-modern-captain-bed-120195-cm-26297400.html,5.0,172.14,0%,3500.0
167,Sedra Velvet Buff - Black,Sedra Velvet Buff   Black,https://www.jumia.com.eg//ar/sedra-velvet-puff-black-682917.html,0.0,52.44,0%,1150.0
168,Modern Home Office Desk - 90*40 - Brown,Modern Home Office Desk           Brown,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-9040-brown-37494618.html,3.0,52.44,53%,1999.0
169,Sedra Tala Waterproof Buff - Orange,Sedra Tala Waterproof Buff   Orange,https://www.jumia.com.eg//ar/sedra-tala-waterproof-puff-orange-516550.html,4.0,52.44,0%,1100.0
170,Wheel set _ black,Modern Home,https://www.jumia.com.eg//ar/generic-office-5-wheel-chair-set-38754685.html,0.0,52.44,43%,350.0
171,Sarcomisr Medical Office Chair - Red Mesh - White,Sarcomisr Medical Office Chair   Red Mesh   White,https://www.jumia.com.eg//ar/sarcomisr-medical-office-chair-red-mesh-white-19897181.html,4.9,52.44,11%,1350.0
172,Beige Super Sofa Bed,Modern Home,https://www.jumia.com.eg//ar/big-super-sofa-bed-navy-22454268.html,3.5,172.14,17%,3500.0
